Characteristic,eICU Overall (N=777),eICU ICU survivor (N=619),eICU ICU death (N=158),eICU P value,MIMIC-IV Overall (N=187),MIMIC-IV ICU survivor (N=161),MIMIC-IV ICU death (N=26),MIMIC-IV P value
Population and outcomes,,,,,,,,
"ICU stays, n",777,619,158,,187,161,26,
"Age, years, median [IQR]",53.0 [32.0-72.0],51.0 [32.0-71.0],57.0 [35.2-74.0],0.126,71.0 [53.5-85.0],71.0 [51.0-85.0],74.0 [63.5-84.8],0.205
"Male sex, n (%)",538 (69.4),408 (66.1),130 (82.3),<0.001,119 (63.6),104 (64.6),15 (57.7),0.497
Neurologic severity,,,,,,,,
"GCS total, median [IQR]",5 [3-7],6 [3-7],3 [3-5],<0.001,7 [6-8],7 [6-8],6 [3-7],0.004
"GCS eye component, median [IQR]",1 [1-1],1 [1-1],1 [1-1],<0.001,1 [1-2],1 [1-2],1 [1-1],0.041
"GCS motor component, median [IQR]",3 [1-4],4 [1-4],1 [1-3],<0.001,4 [3-5],4 [4-5],3 [1-5],0.015
"GCS verbal component, median [IQR]",1 [1-1],1 [1-1],1 [1-1],0.552,1 [1-1],1 [1-1],1 [1-1],0.359
Early physiologic monitoring and burden,,,,,,,,
"MAP effective observation, h, median [IQR]",23.4 [22.1-23.8],23.4 [22.0-23.8],23.6 [23.0-23.9],0.003,22.7 [21.6-23.5],22.6 [21.6-23.4],22.9 [21.8-23.7],0.256
"SpO2 effective observation, h, median [IQR]",23.2 [21.8-23.8],23.2 [21.6-23.7],23.6 [22.5-23.9],<0.001,23.1 [22.0-23.7],23.1 [22.0-23.7],22.8 [21.6-23.2],0.092
"Hypotension burden (MAP <65), median [IQR]",0.082 [0.000-0.485],0.059 [0.000-0.373],0.229 [0.022-1.176],<0.001,0.133 [0.000-0.805],0.097 [0.000-0.647],0.384 [0.018-2.024],0.048
"Hypoxemia burden (SpO2 <90), median [IQR]",0.000 [0.000-0.009],0.000 [0.000-0.007],0.000 [0.000-0.022],0.104,0.000 [0.000-0.000],0.000 [0.000-0.000],0.000 [0.000-0.000],0.967
"Zero hypotension burden, n (%)",264 (34.0),232 (37.5),32 (20.3),<0.001,67 (35.8),61 (37.9),6 (23.1),0.144
"Zero hypoxemia burden, n (%)",541 (69.6),437 (70.6),104 (65.8),0.244,149 (79.7),128 (79.5),21 (80.8),0.882
TBI subtype descriptors,,,,,,,,
"Traumatic subdural hematoma, n (%)",336 (43.2),253 (40.9),83 (52.5),0.008,102 (54.5),90 (55.9),12 (46.2),0.354
"Traumatic subarachnoid hemorrhage, n (%)",279 (35.9),215 (34.7),64 (40.5),0.177,61 (32.6),50 (31.1),11 (42.3),0.256
"Epidural hematoma, n (%)",39 (5.0),30 (4.8),9 (5.7),0.662,6 (3.2),6 (3.7),0 (0.0),1.000
"Intracerebral hemorrhage, n (%)",158 (20.3),120 (19.4),38 (24.1),0.194,17 (9.1),14 (8.7),3 (11.5),0.711
"Contusion or laceration, n (%)",65 (8.4),47 (7.6),18 (11.4),0.124,30 (16.0),27 (16.8),3 (11.5),0.773
"Diffuse axonal injury, n (%)",29 (3.7),21 (3.4),8 (5.1),0.323,7 (3.7),7 (4.3),0 (0.0),0.596
"Herniation, n (%)",53 (6.8),21 (3.4),32 (20.3),<0.001,0 (0.0),0 (0.0),0 (0.0),1.000
"Cerebral edema, n (%)",36 (4.6),23 (3.7),13 (8.2),0.016,15 (8.0),11 (6.8),4 (15.4),0.233
First-24h treatment descriptors,,,,,,,,
"Mechanical ventilation within 24 h, n (%)",716 (92.1),562 (90.8),154 (97.5),0.005,102 (54.5),83 (51.6),19 (73.1),0.041
"Vasopressor use within 24 h, n (%)",139 (17.9),79 (12.8),60 (38.0),<0.001,22 (11.8),12 (7.5),10 (38.5),<0.001
Comorbidities,,,,,,,,
"Congestive heart failure, n (%)",26 (3.3),16 (2.6),10 (6.3),0.019,27 (14.4),20 (12.4),7 (26.9),0.069
"Diabetes, n (%)",107 (13.8),77 (12.4),30 (19.0),0.033,47 (25.1),37 (23.0),10 (38.5),0.091
"Chronic pulmonary disease, n (%)",25 (3.2),19 (3.1),6 (3.8),0.643,21 (11.2),17 (10.6),4 (15.4),0.502
"Renal disease, n (%)",35 (4.5),22 (3.6),13 (8.2),0.011,35 (18.7),24 (14.9),11 (42.3),0.002
"Liver disease, n (%)",10 (1.3),8 (1.3),2 (1.3),1.000,17 (9.1),15 (9.3),2 (7.7),1.000
"Malignancy, n (%)",34 (4.4),30 (4.8),4 (2.5),0.204,11 (5.9),8 (5.0),3 (11.5),0.184
"Cerebrovascular disease, n (%)",41 (5.3),31 (5.0),10 (6.3),0.507,32 (17.1),28 (17.4),4 (15.4),1.000
Outcome descriptors,,,,,,,,
"Hospital death, n (%)",217 (27.9),62 (10.0),155 (98.1),,49 (26.2),23 (14.3),26 (100.0),
